trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
vj_1@07:00:00,,07:00:00,0600000001,1,0,0
vj_1@07:00:00,07:20:00,07:20:00,0600000002,2,0,0
vj_1@07:00:00,07:40:00,07:40:00,0600000003,3,0,0
vj_1@07:00:00,07:50:00,07:50:00,0600000004,4,0,0
vj_1@07:00:00,08:00:00,,0600000005,5,0,0
vj_1@07:20:00,,07:20:00,0600000001,1,0,0
vj_1@07:20:00,07:40:00,07:40:00,0600000002,2,0,0
vj_1@07:20:00,08:00:00,08:00:00,0600000003,3,0,0
vj_1@07:20:00,08:10:00,08:10:00,0600000004,4,0,0
vj_1@07:20:00,08:20:00,,0600000005,5,0,0
vj_1@07:40:00,,07:40:00,0600000001,1,0,0
vj_1@07:40:00,08:00:00,08:00:00,0600000002,2,0,0
vj_1@07:40:00,08:20:00,08:20:00,0600000003,3,0,0
vj_1@07:40:00,08:30:00,08:30:00,0600000004,4,0,0
vj_1@07:40:00,08:40:00,,0600000005,5,0,0
vj_1@08:00:00,,08:00:00,0600000001,1,0,0
vj_1@08:00:00,08:20:00,08:20:00,0600000002,2,0,0
vj_1@08:00:00,08:40:00,08:40:00,0600000003,3,0,0
vj_1@08:00:00,08:50:00,08:50:00,0600000004,4,0,0
vj_1@08:00:00,09:00:00,,0600000005,5,0,0
vj_1@08:20:00,,08:20:00,0600000001,1,0,0
vj_1@08:20:00,08:40:00,08:40:00,0600000002,2,0,0
vj_1@08:20:00,09:00:00,09:00:00,0600000003,3,0,0
vj_1@08:20:00,09:10:00,09:10:00,0600000004,4,0,0
vj_1@08:20:00,09:20:00,,0600000005,5,0,0
vj_1@08:40:00,,08:40:00,0600000001,1,0,0
vj_1@08:40:00,09:00:00,09:00:00,0600000002,2,0,0
vj_1@08:40:00,09:20:00,09:20:00,0600000003,3,0,0
vj_1@08:40:00,09:30:00,09:30:00,0600000004,4,0,0
vj_1@08:40:00,09:40:00,,0600000005,5,0,0
vj_1@09:00:00,,09:00:00,0600000001,1,0,0
vj_1@09:00:00,09:20:00,09:20:00,0600000002,2,0,0
vj_1@09:00:00,09:40:00,09:40:00,0600000003,3,0,0
vj_1@09:00:00,09:50:00,09:50:00,0600000004,4,0,0
vj_1@09:00:00,10:00:00,,0600000005,5,0,0
vj_1@09:20:00,,09:20:00,0600000001,1,0,0
vj_1@09:20:00,09:40:00,09:40:00,0600000002,2,0,0
vj_1@09:20:00,10:00:00,10:00:00,0600000003,3,0,0
vj_1@09:20:00,10:10:00,10:10:00,0600000004,4,0,0
vj_1@09:20:00,10:20:00,,0600000005,5,0,0
vj_1@09:40:00,,09:40:00,0600000001,1,0,0
vj_1@09:40:00,10:00:00,10:00:00,0600000002,2,0,0
vj_1@09:40:00,10:20:00,10:20:00,0600000003,3,0,0
vj_1@09:40:00,10:30:00,10:30:00,0600000004,4,0,0
vj_1@09:40:00,10:40:00,,0600000005,5,0,0
vj_1@10:00:00,,10:00:00,0600000001,1,0,0
vj_1@10:00:00,10:20:00,10:20:00,0600000002,2,0,0
vj_1@10:00:00,10:40:00,10:40:00,0600000003,3,0,0
vj_1@10:00:00,10:50:00,10:50:00,0600000004,4,0,0
vj_1@10:00:00,11:00:00,,0600000005,5,0,0
