trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
VJ1@10:00:00,,10:00:00,9990000001,1,0,0
VJ1@10:00:00,10:03:00,10:03:00,9990000002,2,0,0
VJ1@10:00:00,10:07:00,10:07:00,9990000003,3,0,0
VJ1@10:00:00,10:20:00,10:20:00,9990000004,4,0,0
VJ1@10:00:00,10:29:00,,9990000005,5,0,0
VJ2@11:00:00,,11:00:00,9990000001,1,0,0
VJ2@11:00:00,11:03:00,11:03:00,9990000002,2,0,0
VJ2@11:00:00,,,9990000003,3,0,0
VJ2@11:00:00,11:20:00,11:20:00,9990000004,4,0,0
VJ2@11:00:00,11:29:00,,9990000005,5,0,0
VJ3@12:00:00,,12:00:00,9990000001,1,0,0
VJ3@12:00:00,,,9990000002,2,0,0
VJ3@12:00:00,12:07:00,12:07:00,9990000003,3,0,0
VJ3@12:00:00,,,9990000004,4,0,0
VJ3@12:00:00,12:29:00,,9990000005,5,0,0
VJ4@13:07:00,,13:07:00,9990000003,1,0,0
VJ4@13:07:00,13:20:00,13:20:00,9990000004,2,0,0
VJ4@13:07:00,13:29:00,,9990000005,3,0,0
VJ5@14:00:00,,14:00:00,9990000001,1,0,0
VJ5@14:00:00,14:08:00,14:08:00,9990000002,2,0,0
VJ5@14:00:00,14:17:00,,9990000003,3,0,0
