020013053,51.89008,-0.49194
020013054,51.88842,-0.50003
020013055,51.88857,-0.50013
020013100,51.88551,-0.52227
020013101,51.88547,-0.52242
020013107,51.88661,-0.51936
020013113,51.88640,-0.51939
020013114,51.88706,-0.51359
020013115,51.88693,-0.51332
020013119,51.88504,-0.52526
020013120,51.88468,-0.52654
020013121,51.88443,-0.52816
020013122,51.88361,-0.53082
020013123,51.88322,-0.53275
020013124,51.88206,-0.53701
020013125,51.88256,-0.53549
020013249,51.88814,-0.50293
020013250,51.89052,-0.48859
020013252,51.89031,-0.48974
020013257,51.88804,-0.50228
020013258,51.88782,-0.50638
020013259,51.88735,-0.50788
020013568,51.93074,-0.58657
020014000,51.92350,-0.68744
020014001,51.91767,-0.67514
020014003,51.91696,-0.67266
020014004,51.91696,-0.67240
020014005,51.91623,-0.66998
020014006,51.91638,-0.66980
020014007,51.91618,-0.66750
020014015,51.91644,-0.67655
020014016,51.91510,-0.67198
020014017,51.91533,-0.67201
020014021,51.91603,-0.66400
020014022,51.91583,-0.66429
020014023,51.91645,-0.66150
020014024,51.91612,-0.66033
020014048,51.90722,-0.59994
020014057,51.90873,-0.57552
020014070,51.89689,-0.63644
020014100,51.94264,-0.65519
020014102,51.94526,-0.65687
020014103,51.94550,-0.65745
020014902,51.94299,-0.65543
020014903,51.92137,-0.66035
020014904,51.92092,-0.66013
020014905,51.92460,-0.65926
020014906,51.92442,-0.65921
020014907,51.92705,-0.65833
020014908,51.92745,-0.65838
020014910,51.93066,-0.65772
020014911,51.93348,-0.65724
020014912,51.93406,-0.65726
020014913,51.93650,-0.65676
020014914,51.93730,-0.65683
020016001,51.88189,-0.54113
020016002,51.88181,-0.54073
020016003,51.88255,-0.54548
020016004,51.88267,-0.54628
020016006,51.88177,-0.55819
020016007,51.88140,-0.56137
020016008,51.88215,-0.56351
020016009,51.88330,-0.56789
020016010,51.88339,-0.56881
020016011,51.88548,-0.57336
020016012,51.88537,-0.57297
020016013,51.88639,-0.57673
020016014,51.88646,-0.57703
020016015,51.88942,-0.58329
020016016,51.88974,-0.58373
020016017,51.88580,-0.58951
020016018,51.88590,-0.58961
020016019,51.88193,-0.59297
020016020,51.88142,-0.59262
020016021,51.87853,-0.59321
020016022,51.87881,-0.59305
020016023,51.87517,-0.58638
020016024,51.87511,-0.58591
020016025,51.87351,-0.58363
020016026,51.87287,-0.58359
020016050,51.86067,-0.55975
020016053,51.85032,-0.54337
020016070,51.86280,-0.55831
020016071,51.86274,-0.55818
020016120,51.87552,-0.58780
020016121,51.87567,-0.58797
020016122,51.87628,-0.58965
020016123,51.87650,-0.59006
020016124,51.87783,-0.59367
020016125,51.87788,-0.59377
020016126,51.88029,-0.59285
020016127,51.88026,-0.59275
020016128,51.88234,-0.55463
020033100,52.15811,-0.35344
020033101,52.15765,-0.35381
020033104,52.17834,-0.32029
020033105,52.17801,-0.32023
020033112,52.19429,-0.29890
020033113,52.19441,-0.29831
020035042,52.13768,-0.47112
020035045,52.13755,-0.47111
020035057,52.13887,-0.46531
020035083,52.13941,-0.48134
020035084,52.13938,-0.48084
020035224,52.14047,-0.44411
020035225,52.14033,-0.44473
020035258,52.14251,-0.43141
020035260,52.14275,-0.43006
020035265,52.14718,-0.41089
020035266,52.14702,-0.41075
02900001,51.88206,-0.41434
02901212,51.87915,-0.37600
02903005,51.89316,-0.47425
02903006,51.89286,-0.47404
02903021,51.88412,-0.42716
02903022,51.88562,-0.42853
02903023,51.88641,-0.43078
02903024,51.88692,-0.43188
02903025,51.88805,-0.43809
02903028,51.89081,-0.44478
02903029,51.89110,-0.44711
02903030,51.89185,-0.44828
02903032,51.89197,-0.45768
02903033,51.89206,-0.45669
02903034,51.89222,-0.46094
02903035,51.89246,-0.46068
02903036,51.89292,-0.46522
02903037,51.89284,-0.46624
02903038,51.89224,-0.48021
02903039,51.89247,-0.47969
02903040,51.89135,-0.48400
02903041,51.89158,-0.48449
02903046,51.89206,-0.45134
02903503,51.87885,-0.41149
02903585,51.88262,-0.42504
02903599,51.88038,-0.41578
02903604,51.88098,-0.41807
02903717,51.88978,-0.45601
02903722,51.88980,-0.45618
035090100001,51.45613,-0.93464
035090100002,51.45565,-0.93508
035090120001,51.45697,-0.93146
035090120002,51.45678,-0.93094
035090140001,51.45810,-0.92598
035090140002,51.45784,-0.92607
035090160001,51.45936,-0.92165
035090160002,51.45895,-0.92039
035090180001,51.46371,-0.91363
035090180002,51.46270,-0.91554
035090200001,51.46557,-0.90954
035090200002,51.46525,-0.90992
035090220001,51.46871,-0.90300
035090220002,51.46833,-0.90328
035090240001,51.47166,-0.89548
035090240002,51.47151,-0.89521
035090260002,51.47380,-0.89216
035090260003,51.47474,-0.88919
035090260004,51.47446,-0.88999
035090600001,51.48764,-0.87079
035090600002,51.48752,-0.87052
035090640002,51.49918,-0.87039
