trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
VJ1@10:29:00,,10:29:00,9990000005,1,,0,0,
VJ1@10:29:00,10:48:00,10:48:00,9990000006,2,,0,0,
VJ1@10:29:00,11:00:00,,9990000001,3,,0,0,
VJ2@11:00:00,,11:00:00,9990000001,1,,0,0,
VJ2@11:00:00,11:03:00,11:03:00,9990000002,2,,0,0,
VJ2@11:00:00,11:07:00,11:07:00,9990000003,3,,0,0,
VJ2@11:00:00,11:20:00,11:20:00,9990000004,4,,0,0,
VJ2@11:00:00,11:29:00,11:29:00,9990000005,5,,0,0,
VJ2@11:00:00,11:48:00,11:48:00,9990000006,6,,0,0,
VJ2@11:00:00,12:00:00,,9990000001,7,,0,0,
VJ3@12:00:00,,12:00:00,9990000001,1,,0,0,
VJ3@12:00:00,12:03:00,12:03:00,9990000002,2,,0,0,
VJ3@12:00:00,12:07:00,12:07:00,9990000003,3,,0,0,
VJ3@12:00:00,12:20:00,12:20:00,9990000004,4,,0,0,
VJ3@12:00:00,12:29:00,12:29:00,9990000005,5,,0,0,
VJ3@12:00:00,12:48:00,12:48:00,9990000006,6,,0,0,
VJ3@12:00:00,13:00:00,,9990000001,7,,0,0,
VJ4@13:00:00,,13:00:00,9990000001,1,,0,0,
VJ4@13:00:00,13:03:00,13:03:00,9990000002,2,,0,0,
VJ4@13:00:00,13:07:00,13:07:00,9990000003,3,,0,0,
VJ4@13:00:00,13:20:00,13:20:00,9990000004,4,,0,0,
VJ4@13:00:00,13:29:00,13:29:00,9990000005,5,,0,0,
VJ4@13:00:00,13:48:00,13:48:00,9990000006,6,,0,0,
VJ4@13:00:00,14:00:00,,9990000001,7,,0,0,
VJ5@14:00:00,,14:00:00,9990000001,1,,0,0,
VJ5@14:00:00,14:03:00,14:03:00,9990000002,2,,0,0,
VJ5@14:00:00,14:07:00,14:07:00,9990000003,3,,0,0,
VJ5@14:00:00,14:20:00,14:20:00,9990000004,4,,0,0,
VJ5@14:00:00,14:29:00,,9990000005,5,,0,0,
VJ6@22:30:00,,22:30:00,9990000001,1,,0,0,
VJ6@22:30:00,22:33:00,22:33:00,9990000002,2,,0,0,
VJ6@22:30:00,22:37:00,22:37:00,9990000003,3,,0,0,
VJ6@22:30:00,22:50:00,22:50:00,9990000004,4,,0,0,
VJ6@22:30:00,22:59:00,22:59:00,9990000005,5,,0,0,
VJ6@22:30:00,23:18:00,23:18:00,9990000006,6,,0,0,
VJ6@22:30:00,23:30:00,,9990000001,7,,0,0,
VJ7@23:30:00,,23:30:00,9990000001,1,,0,0,
VJ7@23:30:00,23:33:00,23:33:00,9990000002,2,,0,0,
VJ7@23:30:00,23:37:00,23:37:00,9990000003,3,,0,0,
VJ7@23:30:00,23:50:00,23:50:00,9990000004,4,,0,0,
VJ7@23:30:00,23:59:00,23:59:00,9990000005,5,,0,0,
VJ7@23:30:00,24:18:00,24:18:00,9990000006,6,,0,0,
VJ7@23:30:00,24:30:00,,9990000001,7,,0,0,
VJ8@22:45:00,,22:45:00,9990000001,1,,0,0,
VJ8@22:45:00,22:48:00,22:48:00,9990000002,2,,0,0,
VJ8@22:45:00,22:52:00,22:52:00,9990000003,3,,0,0,
VJ8@22:45:00,23:05:00,23:05:00,9990000004,4,,0,0,
VJ8@22:45:00,23:14:00,23:14:00,9990000005,5,,0,0,
VJ8@22:45:00,23:33:00,23:33:00,9990000006,6,,0,0,
VJ8@22:45:00,23:45:00,,9990000001,7,,0,0,
VJ9@23:45:00,,23:45:00,9990000001,1,,0,0,
VJ9@23:45:00,23:48:00,23:48:00,9990000002,2,,0,0,
VJ9@23:45:00,23:52:00,23:52:00,9990000003,3,,0,0,
VJ9@23:45:00,24:05:00,24:05:00,9990000004,4,,0,0,
VJ9@23:45:00,24:14:00,24:14:00,9990000005,5,,0,0,
VJ9@23:45:00,24:33:00,24:33:00,9990000006,6,,0,0,
VJ9@23:45:00,24:45:00,,9990000001,7,,0,0,
